"","Forest","PlotID","Species","IV_tree","IV_ssap","IV_all"
"33","South Hammond",4,"black cherry",25.667181504551,28.1801125703565,53.8472940749075
"34","South Hammond",4,"catscratch",37.0556870345396,0,37.0556870345396
"35","South Hammond",4,"choke cherry",23.7392564761417,54.7342088805503,78.473465356692
"36","South Hammond",4,"red oak",53.7328428671631,56.2476547842402,109.980497651403
"37","South Hammond",4,"shagbark hickory",11.6971517162526,53.1081926203877,64.8053443366404
"38","South Hammond",4,"white oak",106.999661244835,21.5134459036898,128.513107148525
"39","South Hammond",4,"white pine",101.108219156517,112.883051907442,213.991271063959
"40","South Hammond",5,"quaking aspen",22.6530925601979,0,22.6530925601979
"41","South Hammond",5,"red maple",109.629458516353,0,109.629458516353
"42","South Hammond",5,"red oak",100.61067484842,166.153846153846,266.764521002266
"43","South Hammond",5,"white ash",46.4594403651446,0,46.4594403651446
"44","South Hammond",5,"white oak",27.3745683832629,0,27.3745683832629
"45","South Hammond",5,"white pine",93.2727653266212,60.2564102564102,153.529175583031
"46","South Hammond",6,"catscratch",33.1313455071013,0,33.1313455071013
"47","South Hammond",6,"choke cherry",23.5874076207392,95.3475804470646,118.934988067804
"48","South Hammond",6,"red oak",138.552188913336,46.3817243920413,184.933913305377
"49","South Hammond",6,"red pine",62.8413841880742,0,62.8413841880742
"50","South Hammond",6,"white ash",51.4882896806056,51.4615573569148,102.94984703752
"51","South Hammond",6,"white oak",34.6485407120151,16.3547040039302,51.0032447159453
"52","South Hammond",6,"white pine",75.7508433781287,0,75.7508433781287
"53","Whipoorwill",13,"american elm",37.9074963020603,38.6335403726708,76.5410366747311
"54","Whipoorwill",13,"red maple",91.0693311110644,61.3225421921074,152.391873303172
"55","Whipoorwill",13,"red pine",116.188929227393,0,116.188929227393
"56","Whipoorwill",13,"white pine",148.167576692815,37.9132944350336,186.080871127849
"57","Whipoorwill",14,"american beech",51.811550519377,187.5,239.311550519377
"58","Whipoorwill",14,"red maple",93.6762005083762,72.9166666666667,166.592867175043
"59","Whipoorwill",14,"red pine",51.5336108971492,0,51.5336108971492
"60","Whipoorwill",14,"white ash",46.6138125929612,50.8333333333333,97.4471459262946
"61","Whipoorwill",14,"white birch",33.1463192084846,0,33.1463192084846
"62","Whipoorwill",14,"white pine",176.551839606985,0,176.551839606985
"63","Whiskey Flats",15,"american beech",75.897475888196,136.470588235294,212.36806412349
"64","Whiskey Flats",15,"american elm",40.8718465598523,0,40.8718465598523
"65","Whiskey Flats",15,"red maple",118.167130484502,105.852187028658,224.019317513159
"66","Whiskey Flats",15,"red pine",145.06354706745,0,145.06354706745
"67","Whiskey Flats",16,"american beech",98.6253131080695,182.117288651942,280.742601760012
"68","Whiskey Flats",16,"black cherry",27.1722471759912,0,27.1722471759912
"69","Whiskey Flats",16,"red maple",113.352544633675,104.549378014725,217.901922648399
"70","Whiskey Flats",16,"white birch",68.9763700032708,0,68.9763700032708
"71","Whiskey Flats",16,"white cedar",22.3786981053746,0,22.3786981053746
"72","Whiskey Flats",16,"yellow birch",22.8281603069526,0,22.8281603069526
"73","Beaver Creek",17,"basswood",0,22.0703933747412,22.0703933747412
"74","Beaver Creek",18,"box elder",0,19.8923524796328,19.8923524796328
"75","Beaver Creek",18,"red maple",0,47.718209883333,47.718209883333
"76","Degrasse",11,"red maple",0,60.9523809523809,60.9523809523809
"77","Donnerville",1,"black cherry",0,77.1428571428571,77.1428571428571
"78","Donnerville",1,"choke cherry",0,83.8095238095238,83.8095238095238
"79","Donnerville",1,"striped maple",0,41.9047619047619,41.9047619047619
"80","Donnerville",3,"striped maple",0,30.8448540706605,30.8448540706605
"81","South Hammond",5,"shagbark hickory",0,40.2564102564103,40.2564102564103
"82","South Hammond",6,"basswood",0,23.0213706705969,23.0213706705969
"83","South Hammond",6,"big toothed aspen",0,9.68803733726357,9.68803733726357
"84","South Hammond",6,"red maple",0,52.7094080078605,52.7094080078605
"85","South Hammond",6,"sugar maple",0,118.368951117662,118.368951117662
"86","Whipoorwill",13,"basswood",0,24.5799611017002,24.5799611017002
"87","Whipoorwill",13,"choke cherry",0,27.5826588870067,27.5826588870067
"88","Whipoorwill",13,"hornbeam",0,11.2466277683669,11.2466277683669
"89","Whipoorwill",13,"spruce",0,8.49865110734676,8.49865110734676
"90","Whipoorwill",13,"sugar maple",0,188.645460819374,188.645460819374
"91","Whipoorwill",13,"white ash",0,41.5772633163937,41.5772633163937
"92","Whipoorwill",14,"sugar maple",0,55.4166666666667,55.4166666666667
"93","Whiskey Flats",15,"sugar maple",0,91.0105580693816,91.0105580693816
